"","day","wday","hour","count"
"727",16986,2,6,28
"728",16986,2,7,16
"729",16986,2,8,3
"730",16986,2,9,3
"731",16986,2,10,1
"732",16986,2,11,2
"733",16986,2,12,0
"734",16986,2,13,4
"735",16986,2,14,2
"736",16986,2,15,8
"737",16986,2,16,12
"738",16986,2,17,16
"739",16986,2,18,16
"740",16986,2,19,17
"741",16986,2,20,19
"742",16986,2,21,13
"743",16986,2,22,26
"744",16986,2,23,27
"745",16987,3,0,35
"746",16987,3,1,40
"747",16987,3,2,19
"748",16987,3,3,33
"749",16987,3,4,31
"750",16987,3,5,12
"751",16987,3,6,4
"752",16987,3,7,8
"753",16987,3,8,0
"754",16987,3,9,1
"755",16987,3,10,0
"756",16987,3,11,1
"757",16987,3,12,3
"758",16987,3,13,3
"759",16987,3,14,13
"760",16987,3,15,8
"761",16987,3,16,12
"762",16987,3,17,10
"763",16987,3,18,10
"764",16987,3,19,11
"765",16987,3,20,11
"766",16987,3,21,12
"767",16987,3,22,9
"768",16987,3,23,12
"769",16988,4,0,14
"770",16988,4,1,8
"771",16988,4,2,9
"772",16988,4,3,11
"773",16988,4,4,11
"774",16988,4,5,5
"775",16988,4,6,3
"776",16988,4,7,3
"777",16988,4,8,0
"778",16988,4,9,2
"779",16988,4,10,1
"780",16988,4,11,3
"781",16988,4,12,5
"782",16988,4,13,4
"783",16988,4,14,5
"784",16988,4,15,9
"785",16988,4,16,12
"786",16988,4,17,7
"787",16988,4,18,12
"788",16988,4,19,11
"789",16988,4,20,13
"790",16988,4,21,11
"791",16988,4,22,12
"792",16988,4,23,16
"793",16989,5,0,14
"794",16989,5,1,12
"795",16989,5,2,16
"796",16989,5,3,10
"797",16989,5,4,9
"798",16989,5,5,2
"799",16989,5,6,3
"800",16989,5,7,2
"801",16989,5,8,3
"802",16989,5,9,1
"803",16989,5,10,0
"804",16989,5,11,3
"805",16989,5,12,6
"806",16989,5,13,5
"807",16989,5,14,12
"808",16989,5,15,4
"809",16989,5,16,12
"810",16989,5,17,17
"811",16989,5,18,12
"812",16989,5,19,10
"813",16989,5,20,9
"814",16989,5,21,21
"815",16989,5,22,11
"816",16989,5,23,17
"817",16990,6,0,15
"818",16990,6,1,18
"819",16990,6,2,23
"820",16990,6,3,27
"821",16990,6,4,15
"822",16990,6,5,11
"823",16990,6,6,7
"824",16990,6,7,3
"825",16990,6,8,0
"826",16990,6,9,0
"827",16990,6,10,0
"828",16990,6,11,2
"829",16990,6,12,3
"830",16990,6,13,7
"831",16990,6,14,4
"832",16990,6,15,7
"833",16990,6,16,7
"834",16990,6,17,14
"835",16990,6,18,10
"836",16990,6,19,13
"837",16990,6,20,9
"838",16990,6,21,17
"839",16990,6,22,27
"840",16990,6,23,34
"841",16991,7,0,47
"842",16991,7,1,41
