"","x"
"2002",2
"2003",-4
"2004",-7
"2005",13
"2006",0
"2007",19
"2008",17
"2009",17
"2010",-8
"2011",8
"2012",-28
"2013",14
"2014",16
"2015",5
"2016",-5
"2017",34
"2018",-20
"2019",47
"2020",-116
"2021",33
"2022",-48
"2023",-37
"2024",64
"2025",-18
"2026",6
"2027",-7
"2028",-6
"2029",30
"2030",-16
"2031",18
"2032",23
"2033",31
"2034",-9
"2035",-2
"2036",17
"2037",0
"2038",-77
"2039",-125
"2040",18
"2041",18
"2042",87
"2043",70
"2044",14
"2045",-23
"2046",-35
"2047",4
"2048",-19
"2049",-12
"2050",-14
"2051",3
"2052",-1
"2053",-3
"2054",6
"2055",17
"2056",29
"2057",16
"2058",20
"2059",47
"2060",5
"2061",23
"2062",49
"2063",0
"2064",-61
"2065",43
"2066",7
"2067",-41
"2068",38
"2069",-2
"2070",24
"2071",-26
"2072",-96
"2073",-60
"2074",-20
"2075",16
"2076",-10
"2077",-13
"2078",14
"2079",35
"2080",39
"2081",1
"2082",-21
"2083",3
"2084",-29
"2085",11
"2086",-34
"2087",-34
"2088",27
"2089",-9
"2090",-13
"2091",12
"2092",2
"2093",-4
"2094",2
"2095",1
"2096",-7
"2097",1
"2098",13
"2099",5
"2100",-5
"2101",3
"2102",16
"2103",-28
"2104",36
"2105",-15
"2106",1
"2107",5
"2108",-12
"2109",1
"2110",-8
"2111",-7
"2112",3
"2113",-2
"2114",-8
"2115",-16
"2116",13
"2117",1
"2118",2
"2119",3
"2120",0
"2121",3
"2122",0
"2123",-7
"2124",2
"2125",18
"2126",34
"2127",-36
"2128",-8
"2129",3
"2130",-6
"2131",4
"2132",10
"2133",-21
"2134",20
"2135",-26
"2136",-23
"2137",18
"2138",8
"2139",8
"2140",-9
"2141",-3
"2142",1
"2143",9
"2144",4
"2145",-7
"2146",2
"2147",-8
"2148",21
"2149",-11
"2150",47
"2151",-25
"2152",-29
"2153",-14
"2154",12
"2155",19
"2156",-32
"2157",12
"2158",-4
"2159",-14
"2160",26
"2161",6
"2162",-60
"2163",14
"2164",-2
"2165",-52
"2166",35
"2167",11
"2168",50
"2169",-4
"2170",-7
"2171",-1
"2172",7
"2173",4
"2174",19
"2175",-39
"2176",-29
"2177",16
"2178",14
"2179",-14
"2180",18
"2181",-4
"2182",8
"2183",8
"2184",-19
"2185",-12
"2186",21
"2187",-31
